[4647.20983511]
[4646.3339747]
[4644.32802469]
[4640.76846333]
[4636.87704004]
[4633.1744305]
[4626.24960047]
[4623.78600265]
[4616.30601368]
[4609.32818224]
[4604.45197088]
[4596.49035128]
[4588.89834992]
[4581.18086696]
[4580.67612852]
[4573.39721488]
[4572.38635317]
[4567.46683402]
[4567.76244694]
[4568.06017915]
[4565.44128649]
[4564.03897761]
[4566.27375673]
[4563.47360918]
[4559.60515006]
[4558.00609992]
[4558.53569368]
[4555.67008498]
[4555.1150521]
[4550.53647162]
[4557.37317128]
[4556.91129974]
[4560.84449502]
[4564.44629703]
[4561.40846987]
[4567.69759827]
[4568.67759959]
[4574.96521334]
[4575.04693334]
[4576.72856303]
[4579.3632956]
[4573.65725098]
[4572.04401057]
[4569.62674867]
[4571.17421042]
[4573.36614191]
[4575.87240433]
[4574.92598203]
[4573.02357709]
[4571.17353638]
[4572.51359824]
[4571.34670786]
[4568.67354606]
[4571.02226631]
[4576.52297271]
[4582.51036011]
[4582.99369684]
[4581.34407068]
[4576.59663636]
[4577.17068298]
[4578.04425382]
[4583.49539736]
[4581.56061447]
[4578.39408565]
[4579.64930862]
[4580.95784042]
[4581.06587409]
[4583.77752282]
[4586.47401084]
[4590.27973546]
[4588.76372442]
[4588.15706767]
[4588.82327138]
[4591.21996259]
[4594.57242662]
[4594.16248104]
[4593.98716275]
[4592.58956559]
[4593.41064948]
[4591.78907723]
[4594.03385435]
[4600.26050227]
[4601.887482]
[4602.19794987]
[4603.63245487]
[4601.12118421]
[4606.82214788]
[4608.00776209]
[4609.13616404]
[4609.19026919]
[4608.94776546]
[4610.49113103]
[4609.390176]
[4609.83563352]
[4613.41244636]
[4616.46783419]
[4616.60279346]
[4616.84078183]
[4617.8621342]
[4615.50841073]
[4615.89500762]
[4620.40127609]
[4622.22012786]
[4622.14812039]
[4624.43157642]
[4624.99638164]
[4621.77759109]
[4623.69484384]
[4622.25505775]
[4624.08725312]
[4622.89139382]
[4622.48857502]
[4621.20186008]
[4619.72929697]
[4620.40995041]
[4620.92476113]
[4618.79994987]
[4617.64042939]
[4617.2008119]
[4618.89387457]
[4618.71642657]
[4621.58307432]
[4621.96341239]
[4625.07842307]
[4624.31831994]
[4622.9157784]
[4620.50919169]
[4620.64440014]
[4621.52454284]
[4620.43067103]
[4618.83788715]
[4618.53134223]
[4617.78403751]
[4616.61321327]
[4615.96364629]
[4616.59563764]
[4616.60240027]
[4613.70728188]
[4615.53455517]
[4614.40479689]
[4613.90225722]
[4614.46183636]
[4611.97595268]
[4613.96724698]
[4613.67380827]
[4612.34130118]
[4614.33785076]
[4610.80359481]
[4611.49526759]
[4611.25238676]
