[-144.50644126]
[-149.77616675]
[-155.2051004]
[-159.41029924]
[-164.72007275]
[-168.35555733]
[-172.9724611]
[-178.1280837]
[-181.79343556]
[-187.34153374]
[-189.26711968]
[-192.50669664]
[-196.23387037]
[-199.87858596]
[-202.26707136]
[-206.32423823]
[-210.74565898]
[-213.22692983]
[-216.38660628]
[-218.25689213]
[-221.03049108]
[-224.21991214]
[-226.66822109]
[-228.56646378]
[-229.82863433]
[-234.00032541]
[-237.93875135]
[-240.47362262]
[-243.80246613]
[-246.46081097]
[-250.03156477]
[-251.92411842]
[-254.65918317]
[-257.21932922]
[-259.04492631]
[-263.89034817]
[-264.4566708]
[-267.1482311]
[-269.90935201]
[-270.92042006]
[-273.00157491]
[-275.82246496]
[-277.91015492]
[-281.06377997]
[-279.77050115]
[-280.08087746]
[-280.21737304]
[-282.61674822]
[-283.92060181]
[-286.34897877]
[-287.48308941]
[-288.71461117]
[-289.03682345]
[-290.77738944]
[-290.16953979]
[-289.73044819]
[-289.83878702]
[-291.16494968]
[-292.41831081]
[-291.99572721]
[-292.06037499]
[-290.76628467]
[-290.62392509]
[-292.34880563]
[-292.85963309]
[-292.12368003]
[-290.53523306]
[-289.38801514]
[-288.70407909]
[-290.42959693]
[-291.14308071]
[-292.65762222]
[-293.63186718]
[-293.20624247]
[-291.89783874]
[-293.36376206]
[-293.97301283]
[-292.98228605]
[-293.46920177]
[-294.28865003]
[-293.70254768]
[-291.15628427]
[-291.10410185]
[-289.72493046]
[-290.1610766]
[-292.40186687]
[-292.33471488]
[-290.57704732]
[-289.05816986]
[-289.40475251]
[-289.25622525]
[-288.35915867]
[-286.79643357]
[-286.27563712]
[-285.751982]
[-285.22555271]
[-285.14965574]
[-284.8128701]
[-284.98912685]
[-285.40952147]
[-285.7401897]
[-285.25576656]
[-284.36699053]
[-284.14670023]
[-283.48904525]
[-283.73245281]
[-283.68574818]
[-283.70376775]
[-283.90573875]
[-282.64944066]
[-282.50350865]
[-282.47360115]
[-281.64037314]
[-282.97390459]
[-282.26479444]
[-281.96661693]
[-281.99127485]
[-281.36025008]
[-282.67700552]
[-282.85253814]
[-283.48278257]
[-280.6160956]
[-279.34115602]
[-278.82172102]
[-279.43555922]
[-279.62988741]
[-278.67568887]
[-278.4370757]
[-279.28393395]
[-280.2277195]
[-280.15112972]
[-279.91162507]
[-279.95559994]
[-279.88407612]
[-280.18354502]
[-281.09061367]
[-281.50233532]
[-281.4923378]
[-281.22306109]
[-281.66079609]
[-282.10489773]
[-282.06066822]
[-282.3645733]
[-281.67302773]
[-280.83894106]
[-281.00914622]
[-281.26289015]
[-282.82165785]
[-282.31335552]
[-282.49977251]
