iteration,locational_cost,health_cost,mobility_cost,range_cost,proposed_cost,cumulative_distance
0,4689.429163665053,1972.6145818325283,4689.429163665053,2988.2521877746126,1972.6145818325283,0.0
1,5867.457250432927,2480.7536252164614,2963.2990354105364,2474.6532229581107,1278.3717399274894,0.021572258876432514
2,5850.995906986643,2472.3529534933236,2956.015360054723,2474.719367780595,1274.7576800273628,0.038150758118768446
3,5838.506887049359,2466.108443524674,2952.2280848253554,2475.4609189393636,1273.0307090793422,0.05401253019569379
4,5826.804083454438,2459.7470417272234,2944.3811449546424,2479.7616587225843,1269.023905810656,0.06919918685570928
5,5814.770662067372,2453.5603310336824,2940.484024733736,2480.915390836477,1267.269790144644,0.08376411157627373
6,5804.365587611855,2448.2727938059184,2936.840857316106,2482.809512246075,1265.5037619913833,0.09796980635943697
7,5786.828949382264,2439.4194746911303,2927.8378792641697,2486.6380536373704,1260.7244951876396,0.11184997577175404
8,5770.436484107384,2431.2232420536866,2920.1671420356815,2488.475482029858,1256.8891265733946,0.12573656364158728
9,5758.150254849527,2424.9951274247646,2916.252657295314,2488.582374016379,1255.0707730921026,0.13944850303717987
10,5749.415522959117,2420.2877614795602,2912.435982439846,2491.3482632578316,1253.3013245532559,0.15319185314065617
11,5736.531404302226,2413.8457021511135,2909.25571629864,2490.5851457983185,1251.7945248159858,0.1669155529135368
12,5727.487276404318,2408.643638202157,2901.9479424185474,2495.0190535427973,1248.3350823203855,0.18067074685239431
13,5716.856233026613,2403.158116513304,2898.4220723674443,2496.4553287200756,1246.59992507261,0.19452033812366307
14,5706.044163826803,2397.7520819134,2896.176188497082,2495.2539749179496,1245.560316470762,0.20843449365828667
15,5696.380320367855,2392.665160183926,2892.356156726257,2496.1016965954773,1243.8169672520173,0.22220368702783588
16,5686.556656310141,2387.66832815507,2890.824705782234,2497.7820768660895,1242.9401306688956,0.23604295638437106
17,5674.879575700486,2381.5747878502393,2886.303701275363,2498.588371978005,1240.6796284154595,0.2502488341765482
18,5663.554022126138,2375.40201106307,2881.292249378735,2499.7580099321453,1238.4239024671465,0.2646951185346588
19,5651.301803012928,2369.190901506464,2876.954890076427,2500.8505871611474,1236.2274450382135,0.27934140891305204
20,5642.430793980547,2364.3303969902754,2872.5044959787633,2501.8718781743446,1234.1966924338267,0.2940448610765152
21,5631.279031828204,2358.4995159141035,2868.766220495105,2501.994200250211,1232.4108880253293,0.3087380636427117
22,5619.307899918293,2352.4289499591473,2865.7597965097216,2502.6037678920193,1230.8798982548615,0.3234711219493961
23,5609.571227355817,2347.1356136779123,2861.3405713536354,2503.1640592280573,1228.9480634545976,0.33843247607660354
24,5599.499362018867,2341.8446810094383,2858.579945047962,2506.032031113135,1227.4844169684263,0.3536892828254694
25,5593.099970500871,2338.3049852504346,2855.76410706987,2508.4178613056974,1226.2153868682676,0.36912651079124953
26,5581.383005648105,2332.3615028240483,2852.0365352092695,2508.760285287467,1224.2404898268564,0.38489761511081866
27,5570.204131847102,2326.2620659235527,2845.4666542194846,2510.383583692297,1221.0388826652984,0.40097395957282855
28,5558.974351022623,2320.4771755113125,2842.6502319811893,2512.1195196271774,1219.575115990595,0.41716771733513563
29,5547.116888552917,2314.208444276462,2836.2520976295223,2513.940165505648,1216.3482710369842,0.43348582195886953
30,5540.82346353988,2310.296731769944,2829.8086379974284,2518.124418780521,1213.1265412209382,0.44999491359281063
31,5528.99029656523,2304.3801482826125,2827.6322616743723,2519.828745165384,1211.788353059409,0.4669297961523199
32,5518.21219337557,2298.4810966877835,2822.0400708404136,2522.650274721993,1208.8255909757643,0.4841324925198193
33,5506.12111772589,2292.1805588629454,2817.3097657256026,2524.1346724189957,1206.4604384183565,0.5017004539219534
34,5498.99687019218,2287.93843509609,2812.272485642986,2528.26879070092,1204.2195761548255,0.5194746308545072
35,5487.104439929226,2281.9922199646094,2810.7326293308092,2527.27177571117,1203.5329813320689,0.5375197064760149
36,5476.142218401778,2276.851109200894,2811.6664213164136,2529.862943572813,1203.3609884359844,0.556070442036888
37,5465.652169401878,2271.2660847009397,2806.6837658285826,2534.4394314793662,1200.5918829142913,0.5748669093708068
38,5453.330717319632,2265.1053586598127,2804.224073621296,2536.944025290135,1199.1120368106485,0.593813830665514
39,5445.355040581661,2260.4375202908295,2798.011977143647,2542.6343591120017,1195.9504330162683,0.6129767721782292
40,5436.623399505449,2255.9016997527237,2796.223977999691,2545.422616475416,1194.917544555401,0.632380936804535
41,5428.208275011891,2251.014137505946,2790.663553801372,2550.3211290817526,1192.1651102340186,0.651951524488625
42,5418.1501127981965,2246.1550563990945,2789.816135149063,2553.909225342427,1191.296956463419,0.6716250653503802
43,5409.254190322526,2241.537095161258,2786.9494058068885,2557.9160510332254,1189.5580362367748,0.6914078279487618
44,5399.740271175214,2236.695135587604,2785.2617435983293,2559.2388079504317,1188.6030940213855,0.7113169325662019
45,5388.351495137576,2230.830747568791,2781.8370993563167,2561.47994749618,1186.8352163448237,0.7312950116874031
46,5379.055093627242,2226.097546813622,2780.250074529735,2564.37395352103,1185.930592820423,0.7513903535243529
47,5372.876242323669,2222.6681211618375,2778.7877821686207,2569.6049366483,1185.005002195423,0.7716192542442227
48,5360.997987665073,2216.7289938325366,2777.014293677508,2573.238212569873,1183.7849246165304,0.792087899285752
49,5349.500025422578,2211.1500127112854,2776.9778370268764,2574.530486562745,1183.488918513438,0.8126162832434385
50,5338.68004088956,2204.9750204447805,2769.169871323447,2579.2006265674436,1179.5016023283902,0.8330986966952475
51,5327.048903577952,2199.414451788974,2771.2279886627803,2579.429623538522,1180.280660998057,0.8537183244125999
52,5317.813466785539,2194.796733392773,2770.043365397697,2584.3825675429043,1179.2716826988492,0.8744015882452842
53,5307.855689823509,2189.732844911748,2767.154934543462,2588.312171441953,1177.799689493951,0.8950789810039463
54,5298.897952926627,2185.1689764633165,2765.3895251018803,2593.9860955748127,1176.3892069953845,0.9157533944060142
