iteration,locational_cost,health_cost,mobility_cost,range_cost,proposed_cost,cumulative_distance
0,4142.741389241953,1885.3206946209766,4142.741389241953,2846.4892101420364,1885.3206946209766,0.0
1,4139.510022776527,1883.7050113882656,3459.5166177923807,2450.752072870715,1547.6590441903093,0.03218356173758691
2,4135.943955429371,1881.9219777146852,3452.8065154894,2449.621070932661,1544.3039930388175,0.06344340140689128
3,4130.693115409803,1879.2965577049013,3443.463032989587,2445.8663729504365,1539.7425459065591,0.09401151291429605
4,4127.564044831417,1877.7320224157083,3428.990275749967,2440.2574490522697,1532.8921966985129,0.1242109086591291
5,4127.568154222222,1877.7340771111094,3424.3935836646033,2437.498343402414,1530.7592918323014,0.15415940739370831
6,4129.458050391843,1878.6790251959203,3420.5409636219765,2434.809474787952,1528.9984229874576,0.1842061094598126
7,4129.412912934944,1878.6564564674727,3417.2720989681684,2433.792807366562,1527.4742847782022,0.21439968505638488
8,4128.85827498139,1878.379137490694,3415.489902157105,2435.1061664674216,1526.5831863726692,0.2447917324627737
9,4124.417233790804,1876.1586168954009,3409.370075770495,2433.6119350916747,1523.578420238188,0.275698074191174
10,4122.149017451471,1875.0245087257358,3398.4038323429877,2429.458352278453,1518.3710338185524,0.3071676455308203
11,4121.50236153563,1874.7011807678148,3393.8440702893877,2427.6842023279833,1516.2014469094004,0.3392309824843532
12,4120.944258056296,1874.4221290281473,3388.4706223151247,2426.4126306376106,1513.6250170399137,0.37192020716377366
13,4117.65274635143,1872.7763731757154,3383.0201540192606,2424.498504059672,1510.954929950807,0.4052861054839979
14,4117.72538460332,1872.8126923016598,3378.88815279476,2423.779837707597,1508.9992234562026,0.4394791707699989
15,4114.519947267738,1871.2099736338696,3372.7891197675876,2422.0905648073103,1505.949706942618,0.4747800232389002
16,4113.987140107969,1870.943570053983,3365.248508493621,2417.95392112643,1502.4551365997509,0.5106809935119272
17,4111.830943020553,1869.8654715102762,3356.356513272379,2415.3324987803085,1498.2297272244248,0.5471629867924924
18,4108.088839484537,1867.9944197422676,3349.517210945237,2412.2508097324444,1494.9203701785002,0.5839440406406985
19,4109.5952234101005,1868.747611705051,3345.2655558599517,2411.2072516519343,1492.9599838123293,0.620989257663776
20,4109.55863517211,1868.7293175860539,3342.776013073694,2411.046848238196,1491.7152124191982,0.6582767287935116
21,4107.336615143896,1867.6183075719468,3339.8885416122207,2410.865773863664,1490.2714766884626,0.6953365886685671
22,4105.521473774909,1866.7107368874545,3331.6734541467135,2407.116366471768,1486.3845211910036,0.7326377770627248
23,4106.3383941622815,1867.1191970811396,3329.9136373943725,2406.9854589710067,1485.5046128148329,0.7706486331948839
24,4107.371914640254,1867.6359573201269,3328.473526691675,2407.8380117364823,1484.8397045223078,0.8090333597310696
25,4105.646439551262,1866.7732197756302,3322.2553040313437,2405.096445689926,1481.896034368613,0.8475912530992159
26,4104.701515565016,1866.300757782508,3318.370747728051,2403.767297089024,1480.0089032757899,0.8868397291184338
27,4104.688834334956,1866.294417167478,3316.2149992794675,2403.7122659606143,1479.0413231691455,0.9264082342848499
28,4104.80707274371,1866.3535363718556,3313.777993907796,2402.256291609178,1477.9331146009563,0.9664643473061023
29,4103.831482385116,1865.8657411925576,3311.6777078815385,2402.34193898056,1476.8829715878273,1.0069399071479719
