iteration,locational_cost,health_cost,mobility_cost,range_cost,proposed_cost,cumulative_distance
0,2801.7058363660535,1028.7529181830294,2801.7058363660535,2428.763553603745,1028.7529181830294,0.0
1,2801.6426159311177,1028.7213079655605,2801.6426159311177,2171.925118298324,1027.821307965559,0.021572258876432514
2,2796.529543258801,1026.1647716294003,2796.529543258801,2168.084245776604,1025.4314382960663,0.04219127939704602
3,2791.548214163246,1023.6741070816236,2791.548214163246,2164.35494133048,1023.107440414956,0.06201445198217239
4,2786.610703818402,1021.2053519092005,2786.610703818402,2161.7576865185133,1020.8053519092006,0.08125584233924037
5,2781.7412981757766,1018.7706490878891,2781.7412981757766,2157.402982937653,1018.5373157545557,0.10007577385769648
6,2776.963552856847,1016.3817764284228,2776.963552856847,2153.4954967027497,1016.3151097617558,0.1183854263004401
7,2772.7245436825133,1014.262271841258,2772.7245436825133,2151.8363405797045,1014.1400496190353,0.1362644792998389
8,2767.73350215025,1011.7667510751281,2767.73350215025,2147.8370477979856,1011.9778621862392,0.15383724357681974
9,2763.2265138664325,1009.5132569332159,2763.2265138664325,2144.9928366900954,1009.8354791554377,0.17133702031790626
10,2758.7681097322775,1007.284054866139,2758.7681097322775,2142.5456363500907,1007.7173881994718,0.18873214819175788
11,2754.108797275392,1004.9543986376974,2754.108797275392,2138.473175625577,1005.6655097488085,0.20583841867389088
12,2749.895788895551,1002.8478944477768,2749.895788895551,2135.6706830134763,1003.6701166699984,0.2228626920254132
13,2745.9806477029197,1000.8903238514583,2745.9806477029197,2133.768795252968,1001.7125460736819,0.23986676155435843
14,2742.011570955082,998.9057854775403,2742.011570955082,2132.3556259146953,999.7835632553191,0.2567889185867092
15,2737.880445558232,996.8402227791167,2737.880445558232,2129.4443673592377,997.8846672235611,0.2736035807989641
16,2733.9112184563583,994.8556092281792,2733.9112184563583,2127.280829675689,996.0111647837351,0.29051026792414947
17,2730.1940360326016,992.9970180163012,2730.1940360326016,2125.4385131645345,994.1525735718551,0.30753558216828925
18,2726.489836499717,991.1449182498598,2726.489836499717,2124.2442164529957,992.3004738054135,0.3247449663194345
19,2722.770355909145,989.2851779545736,2722.770355909145,2123.5310287536167,990.4407335101286,0.3422994529372621
20,2719.1378914074394,987.4689457037186,2719.1378914074394,2122.385554369485,988.5689457037186,0.36027136151843014
21,2715.34930878479,985.5746543923945,2715.34930878479,2120.5372759171996,986.6746543923941,0.37873689331888977
22,2711.3913952791263,983.5956976395619,2711.3913952791263,2118.7834259506362,984.7512531951181,0.39778269305946456
23,2707.6196674064495,981.7098337032257,2707.6196674064495,2117.032918625723,982.8098337032243,0.41722369502721135
24,2703.603790415733,979.7018952078681,2703.603790415733,2115.0614068552127,980.8574507634237,0.43725650702788177
25,2699.696822705446,977.7484113527249,2699.696822705446,2114.0457958485213,978.9039669082807,0.45776156347375635
26,2695.8909876938596,975.84549384693,2695.8909876938596,2113.665999685066,976.9454938469298,0.47868778772427606
27,2692.160753285508,973.9803766427535,2692.160753285508,2112.989629552241,974.9692655316423,0.5001406225569898
28,2688.06985939062,971.9349296953101,2688.06985939062,2111.042688564816,972.9793741397559,0.5220527904758194
29,2684.0646133180926,969.9323066590448,2684.0646133180926,2110.1141399765456,970.9767511034894,0.5443339876050604
30,2680.137489023029,967.9687445115169,2680.137489023029,2109.3127812950306,968.957633400405,0.5669746422093651
31,2676.182168657008,965.9910843285038,2676.182168657008,2107.7103772457663,966.9244176618372,0.590054580955135
32,2672.0890401744,963.9445200872008,2672.0890401744,2107.0919392433057,964.8778534205333,0.6134334870177878
33,2668.1516608844204,961.97583044221,2668.1516608844204,2106.8562360432106,962.8536082199876,0.6369342549767452
34,2664.33302203703,960.0665110185146,2664.33302203703,2106.7831878607626,960.8331776851821,0.6605072997939949
35,2660.6354651955226,958.2177325977623,2660.6354651955226,2105.646474527863,958.8177325977625,0.6841016972752398
36,2656.592783574958,956.1963917874789,2656.592783574958,2104.5405892779445,956.7963917874786,0.7078537879190254
37,2652.6709065425966,954.2354532713,2652.6709065425966,2104.1304295954824,954.7798977157452,0.7315851072878408
38,2648.8699842778447,952.3349921389224,2648.8699842778447,2102.9973013533877,952.7683254722556,0.7552813752426057
39,2645.07437437971,950.437187189855,2645.07437437971,2102.48383573683,950.7594094120773,0.7789572134030257
40,2641.0669482344174,948.433474117209,2641.0669482344174,2102.1244966046447,948.7556963394328,0.8025341661188264
41,2637.277321600056,946.5386608000268,2637.277321600056,2101.7442152192357,946.749771911139,0.8259753012735147
42,2633.372917883506,944.5864589417536,2633.372917883506,2101.2062392288763,944.74201449731,0.8493233446526387
43,2629.5537526221738,942.6768763110877,2629.5537526221738,2101.053428902801,942.7213207555324,0.8724960952905505
44,2625.629027498607,940.714513749304,2625.629027498607,2099.967007106019,940.7034026381925,0.8954517665273526
45,2621.93297692982,938.8664884649097,2621.93297692982,2100.045663540621,938.7442662426874,0.9178318952674779
46,2618.557683489704,937.1788417448527,2618.557683489704,2100.381134628289,936.8343973004073,0.9396662428395107
47,2615.1285721095473,935.4642860547742,2615.1285721095473,2099.807200075002,934.953174943663,0.9610890722623386
48,2611.401338379519,933.6006691897594,2611.401338379519,2098.944778125482,933.089558078648,0.9821491068224271
49,2608.037430210795,931.9187151053981,2608.037430210795,2097.8857755850154,931.2409373276221,1.0027368370964123
50,2604.551034272613,930.1755171363059,2604.551034272613,2097.79456598314,929.386628247416,1.0231605347674473
51,2601.0381494845715,928.4190747422854,2601.0381494845715,2097.5338499223194,927.5190747422855,1.0435512967838703
52,2597.720276542555,926.7601382712792,2597.720276542555,2098.561603458468,925.6379160490565,1.0640844685252668
53,2594.4562770746466,925.128138537324,2594.4562770746466,2099.3623158913506,923.728138537324,1.0849068222410327
54,2590.776526716326,923.2882633581632,2590.776526716326,2098.928792514775,921.7771522470523,1.1062455523329182
55,2587.2347814577906,921.5173907288947,2587.2347814577906,2098.5301745627007,919.7840573955611,1.1280981776674834
56,2583.2670808297,919.5335404148511,2583.2670808297,2097.076083412579,917.7446515259625,1.1504945829584268
57,2579.5375766820052,917.6687883410032,2579.5375766820052,2096.4666498839133,915.6576772298906,1.1733469374406802
58,2575.5779350681696,915.6889675340847,2575.5779350681696,2095.913639389141,913.5111897563086,1.1967326334008772
59,2571.9555492354916,913.8777746177464,2571.9555492354916,2098.73035539024,911.3111079510799,1.2206643690285048
60,2567.651478979794,911.7257394898963,2567.651478979794,2098.3106350129055,909.0479617121171,1.2451502800792553
61,2563.697870989952,909.7489354949751,2563.697870989952,2097.7294975267505,906.7933799394195,1.2698322822590042
62,2559.625828509619,907.7129142548096,2559.625828509619,2097.837694330089,904.5351364770311,1.2946963978011212
63,2555.2379533069434,905.5189766534716,2555.2379533069434,2096.549158462508,902.2856433201388,1.3197133861326544
64,2551.6404212446832,903.7202106223408,2551.6404212446832,2099.1734257287453,900.0424328445652,1.3447221885485354
65,2547.267935353485,901.5339676767404,2547.267935353485,2098.06834676046,897.8006343434068,1.3699333755525946
66,2543.453317397022,899.6266586985105,2543.453317397022,2098.767428038795,895.559992031844,1.3951093305715303
67,2539.307690332893,897.5538451664463,2539.307690332893,2098.57312039175,893.320511833113,1.4205335780598518
68,2535.399019450402,895.5995097252012,2535.399019450402,2099.570503935013,891.08839861409,1.4459360782789916
69,2531.1871017782405,893.4935508891224,2531.1871017782405,2097.996445829497,888.8713286669007,1.4714313797001075
70,2527.3414328780073,891.5707164390033,2527.3414328780073,2099.050349085683,886.6707164390021,1.496823028280046
71,2523.2993375787137,889.5496687893568,2523.2993375787137,2098.8112001447294,884.48300212269,1.5221715966444238
72,2519.51565745458,887.657828727291,2519.51565745458,2099.8337431663585,882.3133842828461,1.547446134161239
73,2515.763783985126,885.781891992563,2515.763783985126,2100.92705936515,880.1596697703409,1.5726018542507936
74,2511.816356137569,883.8081780687838,2511.816356137569,2100.7114865544327,878.019289179895,1.5976556020890975
75,2508.117175587755,881.9585877938775,2508.117175587755,2102.0653860726384,875.8919211272116,1.622757568484045
76,2504.0177742998917,879.9088871499451,2504.0177742998917,2101.1677334950996,873.7866649277228,1.6477006102965344
77,2500.29017715001,878.0450885750058,2500.29017715001,2100.6683249890516,871.7006441305614,1.6725587570429121
78,2496.499991716069,876.1499958580334,2496.499991716069,2101.022056092174,869.6388847469236,1.697228103693064
79,2492.6391641824566,874.219582091229,2492.6391641824566,2099.8441201098763,867.597359869008,1.7217955992321112
80,2489.139196386889,872.469598193445,2489.139196386889,2101.268804108222,865.5695981934452,1.7462318394899268
81,2485.777626199162,870.7888130995791,2485.777626199162,2102.92526194547,863.5554797662462,1.7705834109709118
82,2481.9947309008217,868.8973654504128,2481.9947309008217,2102.0796492679365,861.5529210059674,1.7948612598588478
83,2478.3524549886583,867.0762274943295,2478.3524549886583,2102.2048313455975,859.5651163832176,1.8190447977402424
84,2474.648592380767,865.2242961903821,2474.648592380767,2102.6072475453184,857.6020739681614,1.8431720074411437
85,2471.1125877928716,863.4562938964353,2471.1125877928716,2102.61652616247,855.6674050075469,1.867103221290709
86,2467.3928873089717,861.596443654486,2467.3928873089717,2102.011366943546,853.7519992100413,1.8907838021616579
87,2464.2852411013905,860.0426205506963,2464.2852411013905,2103.386530759442,851.8648427729183,1.914118175915068
88,2460.8802115634703,858.3401057817366,2460.8802115634703,2103.596374147008,849.9956613372906,1.9372882142880274
89,2457.3966341629266,856.5983170814637,2457.3966341629266,2103.090740805639,848.1427615259081,1.960251386605436
90,2454.2786635575876,855.0393317787932,2454.2786635575876,2103.985328673768,846.3059984454599,1.9830568126106822
91,2450.7422680709033,853.2711340354515,2450.7422680709033,2102.8314129525515,844.4822451465639,2.0058125402872053
92,2447.6801076963416,851.7400538481709,2447.6801076963416,2104.5701486657927,842.6733871815044,2.0283892566479698
93,2444.2054276736385,850.0027138368196,2444.2054276736385,2104.7770326843097,840.8804916145964,2.050994101378157
94,2441.1164662292877,848.458233114643,2441.1164662292877,2105.0190219584074,839.1137886701997,2.0733432794138538
95,2437.7231284937498,846.7615642468759,2437.7231284937498,2104.421030264538,837.3615642468752,2.0955296614693992
96,2434.485476470673,845.1427382353374,2434.485476470673,2104.302084945946,835.631627124226,2.117590081753399
97,2431.2937350219563,843.5468675109786,2431.2937350219563,2104.720647217786,833.9246452887562,2.139472633069351
98,2428.2420015745365,842.0210007872686,2428.2420015745365,2105.5141845948538,832.2321118983791,2.161128607573979
99,2425.1130343527193,840.4565171763597,2425.1130343527193,2105.203501374612,830.556517176359,2.182700070840227
100,2421.88969791865,838.8448489593254,2421.88969791865,2104.1605611585146,828.8892934037694,2.204127929601708
101,2418.821188421197,837.3105942105987,2418.821188421197,2103.692833159853,827.2439275439317,2.2254908536349816
102,2415.911150591932,835.8555752959672,2415.911150591932,2104.178236308156,825.6222419626343,2.246735125781451
103,2413.0342948362927,834.4171474181467,2413.0342948362927,2105.45640063141,824.0171474181473,2.2678730976702486
104,2409.988734638144,832.8943673190732,2409.988734638144,2104.982072401446,822.4388117635174,2.2888310224829773
105,2407.1886513865975,831.4943256932986,2407.1886513865975,2104.9758163743622,820.8721034710779,2.3096509895437993
106,2404.187567278007,829.9937836390037,2404.187567278007,2105.31441330083,819.3160058612259,2.3304613318914376
107,2401.4353569279046,828.6176784639517,2401.4353569279046,2105.0386158782885,817.7732340195057,2.351176838760175
108,2398.713719885928,827.2568599429648,2398.713719885928,2105.551015475604,816.2457488318535,2.371795641915519
109,2396.0181092858284,825.9090546429139,2396.0181092858284,2105.8825179408786,814.7312768651362,2.3923211132716897
110,2393.130556423404,824.4652782117032,2393.130556423404,2104.243976624917,813.2319448783701,2.4127441385508215
111,2390.505926407339,823.1529632036688,2390.505926407339,2105.0306009479864,811.7529632036692,2.4329507166769746
112,2387.69243739001,821.7462186950034,2387.69243739001,2105.147275435738,810.2906631394471,2.4530123970666535
113,2384.810031264356,820.3050156321785,2384.810031264356,2103.9047264977094,808.8494600766227,2.4729544012579248
114,2382.1835934339133,818.991796716957,2382.1835934339133,2104.114267122224,807.4251300502915,2.492717229549911
115,2379.5936026009713,817.6968013004869,2379.5936026009713,2104.2781011038687,806.0190235227078,2.5124051558110407
116,2376.8030511792012,816.3015255896007,2376.8030511792012,2103.8198066926875,804.6237478118212,2.5320704608013034
117,2374.2717910765705,815.0358955382853,2374.2717910765705,2104.7569244461506,803.2470066493975,2.551489877472012
118,2371.5595702145947,813.6797851072986,2371.5595702145947,2103.571120500522,801.8908962184104,2.570641811280216
119,2369.3299804913468,812.5649902456728,2369.3299804913468,2104.472039789609,800.5538791345616,2.5895872187172295
120,2366.8134082438737,811.306704121937,2366.8134082438737,2104.5439986839874,799.2400374552701,2.6083194885199608
121,2364.4612237578726,810.1306118789355,2364.4612237578726,2104.1834285922628,797.952834101158,2.626782026277894
122,2362.460861528879,809.1304307644393,2362.460861528879,2104.9000225409222,796.6748752088838,2.645084572690858
123,2360.1533773633128,807.9766886816553,2360.1533773633128,2105.056166124178,795.4100220149896,2.6632267579768705
124,2357.662614582402,806.7313072912013,2357.662614582402,2104.1188563897804,794.164640624535,2.681152331551209
125,2355.422013514096,805.6110067570487,2355.422013514096,2104.038596933237,792.9332289792706,2.698865189542051
126,2353.214592872431,804.5072964362162,2353.214592872431,2104.9710985445604,791.718407547327,2.7163483720130643
127,2350.809317771327,803.3046588856635,2350.809317771327,2104.3089181836294,790.5157699967756,2.7336593382664747
128,2348.772440898965,802.2862204494826,2348.772440898965,2105.1017614404404,789.3306648939276,2.7507727331862486
129,2346.419487515517,801.1097437577603,2346.419487515517,2103.9215868730207,788.1541882022025,2.7675380015522832
