iteration,locational_cost,health_cost,mobility_cost,range_cost,proposed_cost,cumulative_distance
0,4142.741389241953,1885.3206946209766,4142.741389241953,2846.4892101420364,1885.3206946209766,0.0
1,4139.510022776527,1883.7050113882656,3459.5166177923807,2450.752072870715,1555.4596977850795,0.03218356173758691
2,4135.943955429371,1881.9219777146852,3452.8065154894,2449.621070932661,1552.1046466335883,0.06344340140689128
3,4130.693115409803,1879.2965577049013,3443.463032989587,2445.8663729504365,1547.5301276059045,0.09401151291429605
4,4127.564044831417,1877.7320224157083,3428.990275749967,2440.2574490522697,1540.6340267638718,0.1242109086591291
5,4127.568154222222,1877.7340771111094,3424.3935836646033,2437.498343402414,1538.481514054522,0.15415940739370831
6,4129.458050391843,1878.6790251959203,3420.5409636219765,2434.809474787952,1536.701037366542,0.1842061094598126
7,4129.412912934944,1878.6564564674727,3417.2720989681684,2433.792807366562,1535.1638272618627,0.21439968505638488
8,4128.85827498139,1878.379137490694,3415.489902157105,2435.1061664674216,1534.2727288563292,0.2447917324627737
9,4124.417233790804,1876.1586168954009,3409.370075770495,2433.6119350916747,1531.2614267741358,0.275698074191174
10,4122.149017451471,1875.0245087257358,3398.4038323429877,2429.458352278453,1526.0213606159386,0.3071676455308203
11,4121.50236153563,1874.7011807678148,3393.8440702893877,2427.6842023279833,1523.83870181136,0.3392309824843532
12,4120.944258056296,1874.4221290281473,3388.4706223151247,2426.4126306376106,1521.2492000464492,0.37192020716377366
13,4117.65274635143,1872.7763731757154,3383.0201540192606,2424.498504059672,1518.57257700963,0.4052861054839979
14,4117.72538460332,1872.8126923016598,3378.88815279476,2423.779837707597,1516.6037986196013,0.4394791707699989
15,4114.519947267738,1871.2099736338696,3372.7891197675876,2422.0905648073103,1513.5542821060162,0.4747800232389002
16,4113.987140107969,1870.943570053983,3365.248508493621,2417.95392112643,1510.0270320245884,0.5106809935119272
17,4111.830943020553,1869.8654715102762,3356.356513272379,2415.3324987803085,1505.7754788584105,0.5471629867924924
18,4108.088839484537,1867.9944197422676,3349.517210945237,2412.2508097324444,1502.453049917063,0.5839440406406985
19,4109.5952234101005,1868.747611705051,3345.2655558599517,2411.2072516519343,1500.473055707754,0.620989257663776
20,4109.55863517211,1868.7293175860539,3342.776013073694,2411.046848238196,1499.228284314624,0.6582767287935116
21,4107.336615143896,1867.6183075719468,3339.8885416122207,2410.865773863664,1497.7845485838877,0.6953365886685671
22,4105.521473774909,1866.7107368874545,3331.6734541467135,2407.116366471768,1493.8714492955796,0.7326377770627248
23,4106.3383941622815,1867.1191970811396,3329.9136373943725,2406.9854589710067,1492.9915409194082,0.7706486331948839
24,4107.371914640254,1867.6359573201269,3328.473526691675,2407.8380117364823,1492.3200966791708,0.8090333597310696
25,4105.646439551262,1866.7732197756302,3322.2553040313437,2405.096445689926,1489.356818682338,0.8475912530992159
26,4104.701515565016,1866.300757782508,3318.370747728051,2403.767297089024,1487.4631516418037,0.8868397291184338
27,4104.688834334956,1866.294417167478,3316.2149992794675,2403.7122659606143,1486.4824996397333,0.9264082342848499
28,4104.80707274371,1866.3535363718556,3313.777993907796,2402.256291609178,1485.3612191761217,0.9664643473061023
29,4103.831482385116,1865.8657411925576,3311.6777078815385,2402.34193898056,1484.3110761629903,1.0069399071479719
30,4103.892025260076,1865.896012630038,3309.712339645846,2401.0760561108086,1483.4742253784784,1.0475184996887494
31,4100.822696456033,1864.3613482280166,3306.220959846215,2400.7122638756646,1481.7285354786625,1.088575718207003
32,4101.232575562422,1864.566287781211,3305.4929704945184,2401.571569532411,1481.4131519139264,1.1298040479865135
33,4099.145500608345,1863.5227503041717,3300.5292928734766,2399.754518756395,1479.0771464367388,1.1713349087496383
34,4099.730045346923,1863.81502267346,3296.399809007851,2397.6706664144986,1477.158237837257,1.2132402394962003
35,4100.125514458056,1864.012757229028,3295.9014487918644,2398.5824925003635,1477.0062799514878,1.2552464345387728
36,4100.566154944058,1864.233077472029,3300.1137166603044,2401.58046919568,1478.9665805523748,1.2974320452562105
37,4099.317419758493,1863.6087098792473,3299.2201615146864,2402.09548880515,1478.5684140906774,1.3397391330419373
38,4098.1689350857405,1863.0344675428696,3299.15712215532,2403.3694942223524,1478.585505522105,1.3823211972888867
39,4097.18898718915,1862.5444935945752,3296.742461908513,2402.8274847443454,1477.4753976209229,1.4249435536029627
40,4098.629149567932,1863.2645747839667,3296.080880567,2402.6915642215727,1477.2418291723893,1.4676552715616902
41,4098.141202766898,1863.0206013834486,3297.559340958011,2404.5150396041035,1477.9810593678949,1.5103098244265085
42,4097.973720912622,1862.9368604563106,3294.2818530613877,2402.8758922282072,1476.5367598640262,1.553124601835917
43,4092.9618736287953,1860.4309368143986,3290.7759454996144,2402.8560378902744,1474.8810283053629,1.5960189602655295
44,4093.0404624598414,1860.47023122992,3289.1481577794475,2402.5811368357,1474.1643566675018,1.6389777141878548
45,4089.8560293202877,1858.8780146601434,3288.09680819733,2403.0855687474887,1473.7359040986646,1.6820786976059272
46,4089.1863259180523,1858.543162959025,3285.9756356580997,2401.771533153376,1472.7725400512722,1.7252494136685907
47,4088.909952945408,1858.404976472705,3286.7441073543473,2403.066592604967,1473.2539981216187,1.7683720684250244
48,4087.440784626887,1857.6703923134432,3284.141799676746,2402.5033486554266,1472.0986776161506,1.8113636869883187
49,4087.116539649705,1857.5082698248534,3286.360087212184,2405.150960424476,1473.2078213838702,1.8542578529344096
50,4084.747055009733,1856.3235275048673,3284.073430654716,2404.5090944734065,1472.1617153273585,1.8971446899940496
51,4079.621315646854,1853.760657823427,3277.8436745226522,2403.6116270842217,1469.1926705946591,1.9398751546556647
52,4077.941877788674,1852.9209388943373,3278.466578575576,2404.805155474372,1469.552733732232,1.9826652331233667
53,4076.2501823792545,1852.0750911896275,3278.2040489124156,2405.982596794025,1469.4700800117635,2.025326572958387
54,4078.071127561406,1852.9855637807018,3280.5688981313597,2407.537650347306,1470.701115732346,2.067870812656201
55,4078.543916915254,1853.2219584576264,3286.2844285095352,2412.8971825946965,1473.4616586992115,2.110234999817142
56,4077.7661511509136,1852.8330755754569,3286.215991909473,2412.5079016686714,1473.5246626214027,2.152783597478763
57,4072.944446373418,1850.422223186709,3282.8514729678254,2413.020012388731,1471.8910142616903,2.1951504619433884
58,4071.192990296422,1849.5464951482113,3281.7922579910223,2413.6390591385657,1471.4100178843996,2.2374403516265713
59,4070.7154570015587,1849.307728500779,3279.707414765693,2412.882559634391,1470.5134296050687,2.279708357116306
60,4069.2310945560207,1848.5655472780106,3278.600063945166,2413.286071869456,1470.0083653059162,2.3218497566518006
61,4068.907679557141,1848.40383977857,3277.3913969750192,2412.74837528911,1469.5012540430655,2.363912518774576
62,4067.9497350350407,1847.9248675175204,3277.2401468523285,2413.5188009044286,1469.4742400928308,2.4057959300496212
63,4066.1088031121826,1847.0044015560902,3274.370027945917,2413.409904863447,1468.1364028618466,2.4476117451748474
64,4064.3591200047,1846.1295600023502,3272.5540456392696,2414.1937034526045,1467.277022819635,2.4893842624999114
65,4063.3724156207227,1845.6362078103602,3273.122626759492,2415.400550152977,1467.609924490857,2.531169570783829
66,4064.4315252726237,1846.1657626363112,3273.357198244214,2416.1363307589095,1467.7758213443296,2.5729071915241835
67,4062.214405746002,1845.057202872999,3274.1939194508577,2418.0213996566677,1468.145570836539,2.6145507248569517
68,4058.184139349682,1843.04206967484,3270.815602810346,2418.0103555287264,1466.5050236273946,2.6561526312972235
69,4055.8121629167936,1841.8560814583975,3268.948695095791,2417.7259088639253,1465.6201808812293,2.6977145016119906
70,4055.27395933129,1841.5869796656455,3267.599666593223,2417.764528793344,1464.9456666299461,2.7393414102220235
71,4057.7785108213657,1842.839255410683,3269.3875780438552,2419.6588245530356,1465.888233466372,2.7810139141463925
72,4058.7294355759423,1843.3147177879719,3269.7958393304484,2420.840517441944,1466.1409752207799,2.8226934458928374
73,4054.9304945662534,1841.4152472831263,3269.9611228929925,2422.9869993231264,1466.17500589094,2.864186297112061
74,4055.949673810161,1841.9248369050804,3269.2851394939366,2423.2383417544806,1465.9828475247466,2.9054159997105984
75,4052.7727196960063,1840.3363598480028,3265.715632235423,2421.836259311105,1464.1980938954898,2.946627136883306
76,4050.502643752056,1839.201321876028,3265.585519484687,2422.4461283385476,1464.0358152978988,2.9875933219646456
77,4049.6997473948236,1838.7998736974116,3264.4421513873776,2422.6311453528606,1463.415520138133,3.0282778440322375
78,4047.988989584396,1837.944494792199,3263.4374343948098,2423.5440485371855,1462.864550530739,3.0687891378857026
79,4048.8765046306785,1838.3882523153393,3264.435498748399,2425.0372659625464,1463.3149715964219,3.109168462619704
80,4050.2291611789424,1839.0645805894717,3268.267959373224,2427.2842811718406,1465.1339796866114,3.1492894318462046
81,4048.383629114788,1838.1418145573946,3268.0616700729365,2428.801716148417,1464.933612814246,3.189026074010935
82,4048.3121729414647,1838.1060864707326,3268.033714270582,2428.819863183941,1464.871023801958,3.22878630570956
83,4045.4241291417115,1836.6620645708558,3267.316464514827,2428.4951574349343,1464.4151767018582,3.2683377009548003
84,4044.72837653326,1836.3141882666296,3266.4877204611576,2429.7400700091816,1463.9521935639125,3.307704894657832
85,4044.1522223037045,1836.026111151852,3268.058652130023,2431.1962004473057,1464.6404371761228,3.347224719987888
86,4044.0007288313654,1835.9503644156832,3270.146822508345,2432.659796904103,1465.5873001430625,3.386362627634601
87,4043.1891546117636,1835.5445773058814,3268.4453912481854,2432.197131755166,1464.7365845129807,3.4250964202581495
88,4043.1291087593595,1835.5145543796807,3269.336540203442,2432.9934276806102,1465.1335478795002,3.4633661262074473
89,4043.7649707562678,1835.8324853781335,3269.096449809852,2432.6115787500476,1465.0135026827038,3.5011743048535493
90,4039.2922862911796,1833.5961431455903,3265.5621877117846,2432.7294159066782,1463.1977605225588,3.538594610645815
91,4038.5870111231407,1833.2435055615722,3265.1936452450805,2432.9456632875763,1462.9648781780968,3.575718666701402
92,4035.937523124565,1831.918761562283,3263.5545126375196,2431.596075409807,1462.096700763205,3.612564946716171
93,4035.1328176591724,1831.516408829586,3260.8929166786716,2431.1655690735392,1460.8145138948921,3.648939925202193
94,4031.971215353504,1829.9356076767526,3258.850987472789,2430.746840744296,1459.7449381808399,3.684988543086514
95,4034.040777748058,1830.970388874029,3262.8232970237905,2433.388200525495,1461.633870734117,3.7208122793046576
96,4033.952154009347,1830.926077004674,3262.3828800443644,2433.1828498832615,1461.4136622444046,3.756375057534892
97,4032.59939375226,1830.2496968761293,3265.1296458133384,2434.832616412988,1462.6412117955576,3.7913604495783186
98,4029.788891923346,1828.8444459616737,3263.104648485028,2434.6110006724966,1461.5801020202928,3.8256953662448043
99,4029.775924300219,1828.8379621501092,3263.9338236413873,2434.7958132575723,1461.9460784873604,3.859796247731206
100,4029.622863040872,1828.761431520436,3263.0853656642917,2434.004308870086,1461.5218494988128,3.8939119636064983
101,4029.599878295345,1828.7499391476722,3265.262550565687,2435.5534325406193,1462.5132197272878,3.927451118135056
102,4029.774467538383,1828.837233769191,3264.795375897818,2435.9140755592844,1462.2796323933533,3.9609218669971953
103,4026.813693612109,1827.3568468060546,3262.692229790664,2435.603343792482,1461.1794482286655,3.994024710821065
104,4024.65182767232,1826.2759138361594,3263.4301762401424,2435.4257646009355,1461.4511992311807,4.026796136745971
105,4023.4313812524283,1825.6656906262137,3264.0542475990883,2436.620820297775,1461.7146237995428,4.059006198580894
106,4019.6468297834144,1823.7734148917075,3261.800110819733,2436.0778026980333,1460.538944298755,4.091171389179721
107,4018.603971431698,1823.2519857158484,3263.7923824838845,2437.014104386505,1461.437857908608,4.122716772096739
108,4015.6560939278756,1821.7780469639376,3262.5268203118003,2438.0231373112247,1460.756465711455,4.153876408398669
109,4018.466954270687,1823.1834771353442,3265.324835312527,2439.199007524263,1462.15547321182,4.184584907836802
110,4017.1743221655697,1822.5371610827858,3267.0252599318624,2440.4437259265037,1462.9084632992651,4.215164567212884
111,4016.0576654865877,1821.9788327432934,3265.8775137400125,2439.6682699032444,1462.3345902033388,4.245526376876407
112,4013.935555615031,1820.917777807515,3262.5580064197034,2437.5456677960537,1460.7234476542953,4.275393705911519
113,4011.089945312071,1819.4949726560367,3259.9313093587516,2436.6740755193046,1459.4100991238213,4.304530496249061
114,4011.7436351434853,1819.8218175717423,3261.84808581704,2436.729169830046,1460.319876241853,4.333375651276125
115,4012.122325284315,1820.0111626421567,3262.024919730087,2436.668142669953,1460.4082931983764,4.362014298717471
116,4012.404016907649,1820.1520084538256,3262.0357161405304,2437.4361323615735,1460.4136914035994,4.39040020131425
117,4010.2175326410024,1819.0587663205008,3259.932643870001,2436.1726864945404,1459.3621552683337,4.418728584972607
118,4011.458991980998,1819.6794959904994,3257.9175110511324,2434.2201784201975,1458.4518110811216,4.44646839066489
119,4010.8024010207014,1819.3512005103505,3258.3343648629248,2433.9449211094598,1458.6116268759065,4.473689861812484
120,4009.937844675,1818.9189223375,3258.160276881968,2435.2063961384392,1458.475971774318,4.500479803026376
121,4009.3616186236995,1818.6308093118505,3257.2073930378147,2435.6036154456665,1457.9995298522404,4.527144331698041
122,4011.873877708245,1819.886938854122,3257.7045009617177,2435.341643442138,1458.2480838141923,4.553535313295456
123,4011.567673059001,1819.7338365295013,3256.4094301734676,2434.6892323067123,1457.649159531179,4.579371749383194
124,4010.314309091304,1819.1071545456518,3255.612659660486,2434.399431298282,1457.2507742746877,4.604806426465121
125,4009.2022075208774,1818.5511037604388,3258.5893439136316,2436.8091143918164,1458.5446719568158,4.629729265838359
126,4007.0231551281445,1817.4615775640723,3259.0839807279845,2437.9503095072064,1458.69476814177,4.654699500058424
127,4006.0348607514857,1816.9674303757408,3258.500096176878,2438.243808000822,1458.4028258662152,4.679384038174054
128,4006.4977017465862,1817.1988508732934,3260.8602550195837,2439.5960217471097,1459.4856830653466,4.703638673280796
129,4004.3105935468466,1816.1052967734233,3258.0520883576432,2438.1831917008362,1458.1302108454881,4.727410029385758
130,4003.9990613090067,1815.9495306545027,3258.10912126847,2438.022190688844,1458.1587273009013,4.750706203043677
