iteration,locational_cost,health_cost,mobility_cost,range_cost,proposed_cost,cumulative_distance
0,2017.8055081805314,822.8527540902659,2017.8055081805314,1957.0797900748978,822.8527540902659,0.0
1,1410.366084431625,549.9830422158125,1340.0488557425656,1410.366084431625,505.248692577165,0.03218356173758691
2,1410.4467254744459,549.773362737223,1339.5284194430974,1410.4467254744459,504.80465089801953,0.06344340140689128
3,1413.080696017338,550.7403480086685,1341.4316237292933,1413.080696017338,505.5650765705288,0.09401151291429605
4,1408.9650950641387,548.7825475320694,1336.9431087708767,1408.9650950641387,503.54876026779124,0.1242109086591291
5,1406.7974847672047,547.6487423836021,1334.616530928514,1406.7974847672047,502.3817948760217,0.15415940739370831
6,1406.1385043676416,547.1692521838211,1333.3168045971265,1406.1385043676416,501.7209022985632,0.1842061094598126
7,1413.2968311774032,550.0984155887019,1338.5687809194596,1413.2968311774032,503.913066930318,0.21439968505638488
8,1416.645130098818,551.2725650494089,1339.7176463505043,1416.645130098818,504.28529376348723,0.2447917324627737
9,1414.8212104820832,550.310605241041,1338.5551925272093,1414.8212104820832,503.5900962636043,0.275698074191174
10,1410.579413837328,548.2397069186638,1333.7351006842744,1410.579413837328,501.3491679891959,0.3071676455308203
11,1412.2971388440103,548.798569422005,1334.3587790151796,1412.2971388440103,501.5286542134721,0.3392309824843532
12,1411.6676805464842,548.3338402732421,1333.3760883602258,1411.6676805464842,500.9711324154065,0.37192020716377366
13,1411.2073675192948,547.903683759647,1332.4630717039447,1411.2073675192948,500.3896240872664,0.4052861054839979
14,1408.7909302435294,546.6954651217653,1330.6215093301964,1408.7909302435294,499.46884290039264,0.4394791707699989
15,1409.0647084214706,546.5823542107352,1330.382140824016,1409.0647084214706,499.16533511789044,0.4747800232389002
16,1409.2330403591204,546.4165201795597,1328.7146298892737,1409.2330403591204,498.36834435640134,0.5106809935119272
17,1407.6775249286675,545.5387624643339,1326.3922990061,1407.6775249286675,497.25497303246203,0.5471629867924924
18,1407.177345667728,545.0886728338643,1325.0881534512139,1407.177345667728,496.53304731384225,0.5839440406406985
19,1402.6514142996698,542.8757071498345,1320.1785741417332,1402.6514142996698,494.2473753061606,0.620989257663776
20,1406.415384388397,544.3076921941984,1322.7408096781442,1406.415384388397,495.1645224861309,0.6582767287935116
21,1407.360726326112,544.4803631630559,1322.9718459702533,1407.360726326112,495.0373935733623,0.6953365886685671
22,1409.9995519793742,545.4997759896871,1324.8812212417915,1409.9995519793742,495.804581209131,0.7326377770627248
23,1410.5610077354868,545.5305038677436,1325.1767370147672,1410.5610077354868,495.7685155662073,0.7706486331948839
24,1408.9554515324094,544.5777257662047,1322.9709096978584,1408.9554515324094,494.59942543716454,0.8090333597310696
25,1408.4506137011272,544.1253068505632,1321.7404422278855,1408.4506137011272,493.96948581982497,0.8475912530992159
26,1406.8823398787438,543.1411699393718,1318.8469030585286,1406.8823398787438,492.5080103527938,0.8868397291184338
27,1408.8055866480977,543.7527933240485,1319.5323413180392,1408.8055866480977,492.7147000707842,0.9264082342848499
28,1407.469546693886,542.9347733469431,1317.2380902105724,1407.469546693886,491.55654510528655,0.9664643473061023
29,1406.3384649293976,542.1692324646989,1315.6548448788833,1406.3384649293976,490.63992243944165,1.0069399071479719
30,1403.7077268473754,540.8038634236877,1312.564039339143,1403.7077268473754,489.14599025780643,1.0475184996887494
