iteration,locational_cost,health_cost,mobility_cost,range_cost,proposed_cost,cumulative_distance
0,2801.7058363660535,1028.7529181830294,2801.7058363660535,2428.763553603745,1028.7529181830294,0.0
1,3127.247634919902,1191.5238174599488,1666.4148733209686,2449.6579172873303,581.4824366604839,0.021572258876432514
2,3119.8228350494755,1187.8114175247406,1663.045201820123,2447.602927194206,579.872600910062,0.03926324491443087
3,3112.8392446242865,1184.3196223121429,1659.8119628223446,2445.3780220348517,578.2559814111728,0.05633950429014921
4,3106.001703632606,1180.9008518163037,1656.3944280568228,2443.5578486947516,576.6972140284117,0.0727997291321888
5,3100.4074249647233,1178.1037124823629,1652.6719939801692,2441.3373376482746,574.910996990085,0.08865433045530417
6,3093.330963242079,1174.5654816210383,1649.6667061227854,2440.086538595268,573.5583530613925,0.10396608161230911
7,3087.884150651645,1171.8420753258222,1645.453992387719,2439.534673325066,571.8269961938593,0.1191397276651243
8,3081.883671383734,1168.841835691863,1642.1948133091357,2437.4478196530467,570.272406654567,0.13397578146169878
9,3074.9454403919453,1165.372720195971,1639.6487333198447,2435.4080987710045,568.9993666599216,0.1485388873949906
10,3071.9273180585596,1163.8636590292795,1634.4715425849677,2433.9746306785587,566.7857712924838,0.16298415719377923
11,3065.3613924069496,1160.5806962034724,1631.729593134734,2432.274805123869,565.4897965673666,0.177481355271039
12,3059.260723043242,1157.530361521618,1628.6358931029683,2431.0232848103487,564.0929465514836,0.19213216199960786
13,3056.6515497001956,1156.2257748500997,1623.0608276988899,2430.3550371822275,561.830413849446,0.20717233555129214
14,3052.291185055004,1154.0455925275019,1618.8222644767134,2429.017652483261,560.0111322383568,0.22222155828314352
15,3049.2356243813338,1152.517812190664,1613.4644662828307,2428.6767196833935,557.8572331414148,0.2373488650947511
16,3043.8716247425177,1149.8358123712583,1609.8617935253565,2427.2607688327976,556.2808967626779,0.252482705230079
17,3039.2129758290384,1147.5064879145195,1605.7321927893672,2425.9704120428596,554.516096394684,0.26773436605915957
18,3034.3836285617576,1145.0918142808782,1602.0937520965326,2423.9374994505215,552.7718760482662,0.2830956263851114
19,3028.385213644876,1142.0926068224385,1599.1433055510554,2421.755411347293,551.2966527755277,0.29867669003738634
20,3024.0755506959536,1139.9377753479782,1594.691777803253,2420.725111519948,549.3708889016266,0.31460041510846337
21,3017.720769549005,1136.7603847745024,1591.7239921756084,2419.1172594645836,547.9619960878043,0.33068777311748765
22,3013.012914685257,1134.4064573426297,1587.654964180559,2417.5760470442633,546.1524820902802,0.3468076816772022
23,3007.693994300436,1131.746997150218,1584.0608404692316,2415.953022337257,544.5054202346158,0.36300920484765736
24,3004.193996643217,1129.996998321611,1579.2755991974584,2414.2251176364957,542.4127995987297,0.3792725774705248
25,3000.1298726528157,1127.9649363264073,1574.466945814402,2413.8816848732326,540.4584729072004,0.39552183134849955
26,2994.2170759716682,1125.0085379858344,1571.1797891145693,2412.5966881582185,538.9648945572848,0.41199436562969205
27,2991.537542094973,1123.668771047488,1565.3504530671642,2412.4051395763513,536.6502265335829,0.42866486938960013
28,2986.7220984868472,1121.2610492434237,1561.152470398636,2411.192876603114,534.8512351993185,0.44554000115828135
