iteration,locational_cost,health_cost,mobility_cost,range_cost,proposed_cost,cumulative_distance
0,2801.7058363660535,1028.7529181830294,2801.7058363660535,2428.763553603745,1028.7529181830294,0.0
1,3564.9898079356662,1306.739903967826,1480.728937346075,2338.4241693880895,519.225579784147,0.021572258876432514
2,3559.594037307994,1303.6170186539957,1476.1868710972942,2338.975895489774,517.1489911042031,0.03876481984311337
3,3554.304697030081,1300.7173485150379,1472.675850696891,2339.86839986154,515.143480904001,0.05581465683251432
4,3547.420127364439,1297.10506368222,1469.5279514194303,2340.1804006964617,513.4306423763821,0.0726779836392523
5,3538.253970506848,1292.5219852534246,1466.8321790526124,2338.3582245522603,512.0827561929732,0.08947881905357978
6,3536.6566597837937,1291.1283298918931,1461.9718663048147,2341.51070679668,509.5414887079618,0.1058439799824019
7,3526.7217026913095,1286.1608513456483,1459.842930150217,2340.704670472925,508.4770206306629,0.12208342454580004
8,3520.4504349076105,1282.9402174538036,1456.9982577195476,2341.1201099002424,506.77690663755095,0.13812131098123615
9,3517.106906838805,1280.7584534194045,1452.5650337347367,2342.7266669278283,504.64362797847895,0.15407623213897081
10,3512.3024992181554,1277.8462496090744,1448.7016974677415,2342.6794051115444,502.8786265116488,0.17000514574159228
11,3504.30559613326,1273.8477980666278,1446.2547570191505,2341.467845277805,501.5718229540196,0.185869347040534
12,3496.750992650463,1269.9004963252266,1443.157542978126,2340.45903543343,500.21766037795135,0.2018006604096487
13,3494.208890497378,1268.1194452486873,1438.3815018677165,2341.6425201211673,497.9963064894137,0.2177684362300471
14,3487.0285677050083,1264.274283852505,1435.2161443301384,2340.8067367939025,496.66362772062564,0.23390871208004574
15,3482.036136555436,1261.6080682777156,1432.756670939188,2343.263166509286,495.0450021362592,0.2500610100459403
16,3476.348919769082,1258.424459884545,1429.3994111626184,2344.278435032094,493.50526113686453,0.2666180891065479
17,3474.4449912952964,1256.8774956476468,1424.415324071337,2344.958519748935,491.23543981344585,0.28346585478742764
18,3469.360634553805,1254.1653172768958,1420.8047744979935,2344.1846930367337,489.45794280454976,0.30042786813737
19,3461.8053777568116,1250.3026888784093,1417.706837999517,2341.8357942985763,488.1311967775377,0.3174954785577278
20,3455.1401266648127,1246.8850633324114,1414.9308297701496,2340.9864727610848,486.7154148850759,0.3347064450744659
21,3446.6495301928326,1242.6397650964175,1412.8022615283483,2339.751130788457,485.6511307641739,0.35211725984334097
22,3437.8679199233807,1238.163959961687,1410.7838248248615,2339.4308763239446,484.6974679679863,0.36993071186989945
23,3431.1250977255204,1234.5375488627606,1407.4763820354622,2339.284507423662,483.2937465732868,0.3884058671509449
24,3423.827428124549,1230.8037140622728,1404.4752112560423,2337.720968639762,481.9320500724657,0.4070406320536334
25,3416.290475162496,1226.9502375812474,1401.3759120176103,2336.014864488899,480.6046226754713,0.42564812124912466
26,3407.573024752083,1222.5915123760367,1398.8461045178692,2334.537081432767,479.50638559226707,0.444341298216992
27,3398.594274239171,1218.0171371195834,1396.4251444114907,2333.22454398774,478.51812776130043,0.4632806909095052
28,3393.414457766591,1215.087228883293,1392.573101521699,2333.072609055613,476.81432853862714,0.4827164200670244
29,3389.103503314152,1212.5067516570757,1388.2539894647803,2334.2273702339767,474.9325502879454,0.5023455437709711
30,3382.2472992626786,1208.993649631347,1384.921668544977,2333.8382814950273,473.40527871693456,0.5223270006735281
31,3372.1884829753344,1204.049241487666,1383.3818645539438,2331.3360370067194,472.57982116586044,0.5426228884718065
32,3361.7953735423002,1199.0226867711476,1381.500725644643,2328.1476480224187,471.694807266766,0.5631262318343384
33,3356.6759787725505,1196.2079893862729,1378.2134262948557,2330.3707052678496,469.9678242585377,0.583792662126969
