iteration,locational_cost,health_cost,mobility_cost,range_cost,proposed_cost,cumulative_distance
0,4689.429163665053,1972.6145818325283,4689.429163665053,2988.2521877746126,1972.6145818325283,0.0
1,4681.88440031786,1968.842200158931,4681.88440031786,2368.6831211396857,1973.2755334922654,0.021572258876432514
2,4674.39717444799,1965.0985872239985,4674.39717444799,2365.310983375034,1969.6985872239968,0.04233961665412404
3,4682.18392957571,1968.9919647878546,4682.18392957571,2368.6280486635305,1973.814187010077,0.06247595926326695
4,4672.849324562427,1964.324662281214,4672.849324562427,2365.5152709500167,1969.257995614548,0.08216582954612531
5,4663.212246401315,1959.5061232006583,4663.212246401315,2361.5400145166614,1964.6061232006573,0.10158045687646351
6,4656.2217244395015,1956.0108622197517,4656.2217244395015,2355.827398797237,1961.499751108642,0.12063182605579537
7,4652.241284368097,1954.0206421840508,4652.241284368097,2354.8835072850998,1959.6206421840493,0.13942373508212402
8,4651.127469006604,1953.4637345033002,4651.127469006604,2356.1914641489698,1959.2304011699662,0.15810179967050822
9,4644.737205250334,1950.2686026251667,4644.737205250334,2354.996739663662,1956.2019359585013,0.1768521714883579
10,4637.782375427238,1946.7911877136216,4637.782375427238,2353.7200491222293,1952.8356321580645,0.19568558789741153
11,4636.604855743124,1946.2024278715626,4636.604855743124,2349.480184007335,1952.6357612048919,0.21478673223004827
12,4630.736589438186,1943.2682947190965,4630.736589438186,2347.461083421658,1949.8682947190964,0.2342538439680599
13,4628.142851614142,1941.9714258070687,4628.142851614142,2348.746408057659,1948.682536918183,0.2541494977930689
14,4621.120282156259,1938.4601410781288,4621.120282156259,2345.9933845562705,1945.337918855906,0.27440024092154636
15,4616.46353912081,1936.1317695604062,4616.46353912081,2345.855361794686,1943.1206584492936,0.2949037989284299
16,4611.812532098002,1933.8062660490048,4611.812532098002,2344.2988551100957,1940.9618216045578,0.3157939119686216
17,4610.97324316773,1933.386621583863,4610.97324316773,2343.0660282702115,1940.7643993616402,0.3370824023484315
18,4606.562341636307,1931.181170818154,4606.562341636307,2340.8778299657642,1938.8367263737086,0.3588321173872205
19,4601.5371297954425,1928.668564897721,4601.5371297954425,2340.226195247867,1936.4907871199437,0.3809468096681913
20,4595.888502425143,1925.844251212569,4595.888502425143,2337.680038449337,1933.9442512125675,0.40336654531906596
21,4592.047691362048,1923.9238456810235,4592.047691362048,2338.2211768476277,1932.0794012365793,0.4261273693023551
22,4587.427676870579,1921.6138384352917,4587.427676870579,2336.7886516073595,1929.9360606575142,0.44920787227655323
23,4583.680318229629,1919.7401591148157,4583.680318229629,2337.1425716690023,1928.173492448149,0.47241107567814117
24,4580.26596076843,1918.0329803842133,4580.26596076843,2335.8026054279885,1926.632980384214,0.4955978564379818
25,4578.120745729408,1916.960372864706,4578.120745729408,2336.0369640012996,1925.727039531372,0.518825492831237
26,4573.6450411223,1914.7225205611494,4573.6450411223,2335.4849417133896,1923.6558538944844,0.5420487377790275
27,4570.424789283277,1913.1123946416387,4570.424789283277,2334.4343731638915,1922.212394641639,0.5653035234841599
28,4565.166080781814,1910.4830403909075,4565.166080781814,2334.99223833418,1919.6385959464624,0.5885543317703641
29,4564.106193179133,1909.9530965895688,4564.106193179133,2334.360646864131,1919.2753188117895,0.6115233797505133
30,4559.587477052329,1907.6937385261645,4559.587477052329,2333.9922951816616,1917.071516303941,0.6339896399552709
31,4557.279996522643,1906.5399982613194,4557.279996522643,2333.04642711712,1916.1399982613207,0.6561801871019466
32,4554.194447884011,1904.9972239420058,4554.194447884011,2333.838785994175,1914.5972239420062,0.6778926068333968
33,4552.327331025056,1904.063665512529,4552.327331025056,2332.9032789049224,1913.8303321791946,0.6992493349364526
34,4551.169227474093,1903.4846137370444,4551.169227474093,2334.6978751972865,1913.3068359592676,0.7202166209900589
35,4548.2470370771,1902.02351853855,4548.2470370771,2335.4820197331496,1911.8457407607702,0.7408009225666712
36,4544.9842239238515,1900.3921119619245,4544.9842239238515,2335.7795393728734,1910.2698897397045,0.7611061210659997
37,4544.714361542933,1900.2571807714648,4544.714361542933,2336.716154382696,1910.1349585492412,0.7813115192342062
38,4540.71742293633,1898.2587114681646,4540.71742293633,2338.7224822655653,1908.0253781348306,0.8014137047382319
