iteration,locational_cost,health_cost,mobility_cost,range_cost,proposed_cost,cumulative_distance
0,4689.429163665053,1972.6145818325283,4689.429163665053,2988.2521877746126,1972.6145818325283,0.0
1,4681.88440031786,1968.842200158931,4681.88440031786,2986.6831211396857,1968.842200158931,0.021572258876432514
2,4674.39717444799,1965.0985872239985,4674.39717444799,2985.560983375034,1965.0985872239985,0.04233961665412404
3,4682.18392957571,1968.9919647878546,4682.18392957571,2991.8780486635305,1968.9919647878546,0.06247595926326695
4,4672.849324562427,1964.324662281214,4672.849324562427,2990.2652709500167,1964.324662281214,0.08216582954612531
5,4663.212246401315,1959.5061232006583,4663.212246401315,2988.5400145166614,1959.5061232006583,0.10158045687646351
6,4656.2217244395015,1956.0108622197517,4656.2217244395015,2988.077398797237,1956.0108622197517,0.12063182605579537
7,4652.241284368097,1954.0206421840508,4652.241284368097,2988.6335072850998,1954.0206421840508,0.13942373508212402
8,4651.127469006604,1953.4637345033002,4651.127469006604,2992.1914641489693,1953.4637345033002,0.15810179967050822
9,4644.737205250334,1950.2686026251667,4644.737205250334,2993.246739663662,1950.2686026251667,0.1768521714883579
10,4637.782375427238,1946.7911877136216,4637.782375427238,2993.4700491222297,1946.7911877136216,0.19568558789741153
11,4636.604855743124,1946.2024278715626,4636.604855743124,2994.473552780752,1946.2024278715626,0.21478673223004827
12,4630.736589438186,1943.2682947190965,4630.736589438186,2994.692386896268,1943.2682947190965,0.2342538439680599
13,4628.142851614142,1941.9714258070687,4628.142851614142,2997.4619371620165,1941.9714258070687,0.2541494977930689
14,4621.120282156259,1938.4601410781288,4621.120282156259,2996.935498851614,1938.4601410781288,0.27440024092154636
15,4616.46353912081,1936.1317695604062,4616.46353912081,2998.27200015729,1936.1317695604062,0.2949037989284299
16,4611.812532098002,1933.8062660490048,4611.812532098002,2998.929510594866,1933.8062660490048,0.3157939119686216
17,4610.97324316773,1933.386621583863,4610.97324316773,3000.6505739513677,1933.386621583863,0.3370824023484315
18,4606.562341636307,1931.181170818154,4606.562341636307,3002.07554234444,1931.181170818154,0.3588321173872205
19,4601.5371297954425,1928.668564897721,4601.5371297954425,3003.600833478848,1928.668564897721,0.3809468096681913
20,4595.888502425143,1925.844251212569,4595.888502425143,3004.6240890587146,1925.844251212569,0.40336654531906596
